Time Stamp,Elapsed Time (s),Position_U1 (mm),Position_U2 (mm),Position_U3 (mm)
2026-05-22 16:42:09.865,0.000548,200.000,202.000,200.000
2026-05-22 16:42:12.884,3.019623,200.000,202.000,200.000
2026-05-22 16:42:15.402,5.537605,200.693,207.729,200.525
2026-05-22 16:42:17.916,8.051659,200.693,207.729,200.525
2026-05-22 16:42:20.437,10.572466,248.000,202.000,200.000
2026-05-22 16:42:22.973,13.113703,248.000,202.000,200.000
2026-05-22 16:42:25.499,15.634423,248.000,202.000,248.000
2026-05-22 16:42:28.021,18.156640,248.000,202.000,248.000
2026-05-22 16:42:30.542,20.677051,248.000,248.000,248.000
2026-05-22 16:42:33.059,23.194108,248.000,248.000,248.000
2026-05-22 16:42:35.578,25.713232,245.518,244.432,237.256
2026-05-22 16:42:38.096,28.230955,245.518,244.432,237.256
2026-05-22 16:42:40.612,30.750995,238.262,239.706,229.262
2026-05-22 16:42:43.126,33.270966,238.262,239.706,229.262
2026-05-22 16:42:45.657,35.791744,241.568,247.917,224.254
2026-05-22 16:42:48.169,38.304204,241.568,247.917,224.254
2026-05-22 16:42:50.680,40.815440,248.000,248.000,200.000
2026-05-22 16:42:53.211,43.346303,248.000,248.000,200.000
2026-05-22 16:42:55.731,45.869543,225.944,245.846,200.811
2026-05-22 16:42:58.243,48.377673,225.944,245.846,200.811
2026-05-22 16:43:00.775,50.909638,220.485,243.805,209.931
2026-05-22 16:43:03.290,53.424949,220.485,243.805,209.931
2026-05-22 16:43:05.818,55.952677,217.026,233.803,222.129
2026-05-22 16:43:08.335,58.469814,217.026,233.803,222.129
2026-05-22 16:43:10.851,60.985793,221.724,236.027,241.749
2026-05-22 16:43:13.375,63.509932,221.724,236.027,241.749
2026-05-22 16:43:15.890,66.024883,200.000,248.000,248.000
2026-05-22 16:43:18.407,68.542303,200.000,248.000,248.000
2026-05-22 16:43:20.935,71.069799,203.600,241.009,246.607
2026-05-22 16:43:23.449,73.583985,203.600,241.009,246.607
2026-05-22 16:43:25.974,76.108618,200.000,202.000,248.000
2026-05-22 16:43:28.493,78.628605,200.000,202.000,248.000
2026-05-22 16:43:31.017,81.152025,210.985,217.270,243.929
2026-05-22 16:43:33.535,83.670270,210.985,217.270,243.929
2026-05-22 16:43:36.054,86.189121,218.153,217.791,245.506
2026-05-22 16:43:38.575,88.710420,218.153,217.791,245.506
2026-05-22 16:43:41.091,91.225966,230.716,212.447,243.629
2026-05-22 16:43:43.601,93.735544,230.716,212.447,243.629
2026-05-22 16:43:46.128,96.263468,235.314,210.739,235.685
2026-05-22 16:43:48.648,98.783308,235.314,210.739,235.685
2026-05-22 16:43:51.175,101.309941,244.749,207.421,224.604
2026-05-22 16:43:53.695,103.830274,244.749,207.421,224.604
2026-05-22 16:43:56.213,106.347716,242.721,213.897,218.292
2026-05-22 16:43:58.735,108.870189,242.721,213.897,218.292
2026-05-22 16:44:01.247,111.382190,227.573,219.388,201.427
2026-05-22 16:44:03.772,113.906615,227.573,219.388,201.427
2026-05-22 16:44:06.287,116.425824,224.003,226.882,208.162
2026-05-22 16:44:08.805,118.943556,224.003,226.882,208.162
2026-05-22 16:44:11.325,121.460274,212.382,215.812,207.624
2026-05-22 16:44:13.851,123.986211,212.382,215.812,207.624
2026-05-22 16:44:16.370,126.504482,207.872,221.142,200.634
2026-05-22 16:44:18.892,129.027150,207.872,221.142,200.634
2026-05-22 16:44:21.409,131.544302,202.112,231.735,205.304
2026-05-22 16:44:23.928,134.063408,202.112,231.735,205.304
2026-05-22 16:44:26.447,136.582116,200.000,248.000,200.000
2026-05-22 16:44:28.956,139.090682,200.000,248.000,200.000
2026-05-22 16:44:31.476,141.611082,200.000,202.000,200.000
